0	1.66666e-05	4.16666e-06
0.01	6.66678e-05	4.16666e-06
0.02	0.000116679	4.16666e-06
0.03	0.00016671	4.16666e-06
0.04	0.000216772	4.16666e-06
0.05	0.000266873	4.16666e-06
0.06	0.000317025	4.16666e-06
0.07	0.000367236	4.16666e-06
0.08	0.000417519	4.16666e-06
0.09	0.000467882	4.16666e-06
0.1	0.000518336	4.16666e-06
0.11	0.000568891	4.16666e-06
0.12	0.000619558	4.16666e-06
0.13	0.000670348	4.16666e-06
0.14	0.00072127	4.16666e-06
0.15	0.000772336	4.16666e-06
0.16	0.000823557	4.16666e-06
0.17	0.000874944	4.16666e-06
0.18	0.000926507	4.16666e-06
0.19	0.000978258	4.16666e-06
0.2	0.00103021	4.16666e-06
0.21	0.00108237	4.16666e-06
0.22	0.00113475	4.16666e-06
0.23	0.00118737	4.16666e-06
0.24	0.00124024	4.16666e-06
0.25	0.00129337	4.16666e-06
0.26	0.00134676	4.16666e-06
0.27	0.00140045	4.16666e-06
0.28	0.00145443	4.16666e-06
0.29	0.00150872	4.16666e-06
0.3	0.00156333	4.16666e-06
0.31	0.00161829	4.16666e-06
0.32	0.0016736	4.16666e-06
0.33	0.00172928	4.16666e-06
0.34	0.00178534	4.16666e-06
0.35	0.00184179	4.16666e-06
0.36	0.00189867	4.16666e-06
0.37	0.00195597	4.16666e-06
0.38	0.00201371	4.16666e-06
0.39	0.00207192	4.16666e-06
0.4	0.00213062	4.16666e-06
0.41	0.0021898	4.16666e-06
0.42	0.00224951	4.16666e-06
0.43	0.00230975	4.16666e-06
0.44	0.00237055	4.16666e-06
0.45	0.00243192	4.16666e-06
0.46	0.00249389	4.16666e-06
0.47	0.00255647	4.16666e-06
0.48	0.0026197	4.16666e-06
0.49	0.00268359	4.16666e-06
0.5	0.00274816	4.16666e-06
0.51	0.00281344	4.16666e-06
0.52	0.00287945	4.16666e-06
0.53	0.00294623	4.16666e-06
0.54	0.00301379	4.16666e-06
0.55	0.00308217	4.16666e-06
0.56	0.00315139	4.16666e-06
0.57	0.00322148	4.16666e-06
0.58	0.00329248	4.16666e-06
0.59	0.00336442	4.16666e-06
0.6	0.00343732	4.16666e-06
0.61	0.00351123	4.16666e-06
0.62	0.00358618	4.16666e-06
0.63	0.00366221	4.16666e-06
0.64	0.00373935	4.16666e-06
0.65	0.00381766	4.16666e-06
0.66	0.00389716	4.16666e-06
0.67	0.0039779	4.16666e-06
0.68	0.00405994	4.16666e-06
0.69	0.00414331	4.16666e-06
0.7	0.00422807	4.16666e-06
0.71	0.00431427	4.16666e-06
0.72	0.00440197	4.16666e-06
0.73	0.00449122	4.16666e-06
0.74	0.00458208	4.16666e-06
0.75	0.00467461	4.16666e-06
0.76	0.00476888	4.16666e-06
0.77	0.00486497	4.16666e-06
0.78	0.00496293	4.16666e-06
0.79	0.00506286	4.16666e-06
0.8	0.00516482	4.16666e-06
0.81	0.0052689	4.16666e-06
0.82	0.00537519	4.16666e-06
0.83	0.00548379	4.16666e-06
0.84	0.00559478	4.16666e-06
0.85	0.00570828	4.16666e-06
0.86	0.0058244	4.16666e-06
0.87	0.00594324	4.16666e-06
0.88	0.00606494	4.16666e-06
0.89	0.00618961	4.16666e-06
0.9	0.00631741	4.16666e-06
0.91	0.00644846	4.16666e-06
0.92	0.00658293	4.16666e-06
0.93	0.00672098	4.16666e-06
0.94	0.00686278	4.16666e-06
0.95	0.00700852	4.16666e-06
0.96	0.00715839	4.16666e-06
0.97	0.00731261	4.16666e-06
0.98	0.0074714	4.16666e-06
0.99	0.00763499	4.16666e-06
1	0.00780364	4.16666e-06
1.01	0.00797763	4.16666e-06
1.02	0.00815725	4.16666e-06
1.03	0.00834282	4.16666e-06
1.04	0.00853467	4.16666e-06
1.05	0.00873317	4.16666e-06
1.06	0.00893872	4.16666e-06
1.07	0.00915173	4.16666e-06
1.08	0.00937268	4.16666e-06
1.09	0.00960205	4.16666e-06
1.1	0.00984038	4.16666e-06
1.11	0.0100883	4.16666e-06
1.12	0.0103464	4.16666e-06
1.13	0.0106153	4.16666e-06
1.14	0.010896	4.16666e-06
1.15	0.0111891	4.16666e-06
1.16	0.0114956	4.16666e-06
1.17	0.0118165	4.16666e-06
1.18	0.0121529	4.16666e-06
1.19	0.0125061	4.16666e-06
1.2	0.0128773	4.16666e-06
1.21	0.0132682	4.16666e-06
1.22	0.0136803	4.16666e-06
1.23	0.0141156	4.16666e-06
1.24	0.0145762	4.16666e-06
1.25	0.0150644	4.16666e-06
1.26	0.0155829	4.16666e-06
1.27	0.0161347	4.16666e-06
1.28	0.0167233	4.16666e-06
1.29	0.0173526	4.16666e-06
1.3	0.018027	4.16666e-06
1.31	0.0187519	4.16666e-06
1.32	0.0195332	4.16666e-06
1.33	0.020378	4.16666e-06
1.34	0.0212946	4.16666e-06
1.35	0.0222926	4.16666e-06
1.36	0.0233837	4.16666e-06
1.37	0.0245818	4.16666e-06
1.38	0.0259036	4.16666e-06
1.39	0.0273699	4.16666e-06
1.4	0.0290058	4.16666e-06
1.41	0.0308432	4.16666e-06
1.42	0.032922	4.16666e-06
1.43	0.0352937	4.16666e-06
1.44	0.0380255	4.16666e-06
1.45	0.0412068	4.16666e-06
1.46	0.0449593	4.16666e-06
1.47	0.0494531	4.16666e-06
1.48	0.0549331	4.16666e-06
1.49	0.0617654	4.16666e-06
1.5	0.0705232	4.16666e-06
1.51	0.0821564	4.16666e-06
1.52	0.0983635	4.16666e-06
1.53	0.122508	4.16666e-06
1.54	0.162321	4.16666e-06
